ID,ELEMENT,Avg_Temperature
AYM00089642,TMIN,-77.86206896551724
BOM00033124,TMIN,1.608695652173913
CA001062646,TMAX,71.89655172413794
CA001063690,TMIN,23.620689655172413
CA001108395,TMIN,24.285714285714285
CA001157631,TMAX,22.482758620689655
CA002204101,TMAX,-155.93103448275863
CA003013140,TMAX,-22.06896551724138
CA003015673,TMAX,-21.655172413793103
CA003015676,TMIN,-142.24137931034483
CA00301B460,TMAX,-20.24137931034483
CA003073740,TMAX,-8.793103448275861
CA004018642,TMIN,-123.65517241379311
CA006107276,TMIN,-86.89655172413794
CA006122847,TMIN,-33.51724137931034
CA008204402,TMAX,15.892857142857142
CHM00059758,TMIN,179.44827586206895
IN023420800,TMIN,22.75
IT000016550,TMIN,103.5
ITM00016061,TMAX,119.33333333333333
JA000047780,TMAX,114.96551724137932
JA000047831,TMIN,86.46666666666667
LG000026247,TMAX,18.06896551724138
MCM00045011,TMAX,217.1904761904762
RSM00022529,TMIN,-152.7
RSM00027051,TMIN,-131.42857142857142
RSM00029393,TMAX,-119.3076923076923
RSM00030252,TMAX,-169.0
RSM00035037,TMAX,-75.52
SF001447910,TMIN,134.25925925925927
TX000038895,TMAX,134.10714285714286
UPM00033837,TMIN,35.857142857142854
USC00027716,TMIN,-26.448275862068964
USC00031132,TMIN,-1.3448275862068966
USC00046572,TMIN,83.75862068965517
USC00057317,TMIN,-24.26923076923077
USC00058436,TMIN,-51.142857142857146
USC00145888,TMIN,-44.3448275862069
USC00150483,TMIN,9.758620689655173
USC00194313,TMAX,65.32
USC00204793,TMIN,-41.473684210526315
USC00216822,TMAX,52.57142857142857
USC00221707,TMAX,188.52380952380952
USC00235916,TMAX,144.33333333333334
USC00241342,TMAX,19.785714285714285
USC00257667,TMIN,-54.142857142857146
USC00300093,TMIN,-67.625
USC00338822,TMAX,74.58620689655173
USC00339220,TMAX,107.5
USC00354811,TMIN,30.344827586206897
USC00415618,TMAX,196.64285714285714
USC00465563,TMAX,133.82608695652175
USC00473058,TMAX,66.93103448275862
USR0000CJAY,TMAX,88.0
USR0000CLHO,TMIN,40.5
USR0000CMAD,TMIN,9.166666666666666
USR0000CROC,TMIN,-49.0
USR0000CWHT,TMIN,22.166666666666668
USR0000HMLK,TMIN,136.83333333333334
USR0000IBON,TMAX,36.0
USR0000MDER,TMIN,-4.666666666666667
